web-scraper-order,web-scraper-start-url,Page,Element,Element-href,name,location,length,elevation,route,description,difficulty,rating,participants,tags
"1700575825-20","https://www.alltrails.com/switzerland/bern","","Lotzwil - Langenthal","https://www.alltrails.com/trail/switzerland/bern/lotzwil-langenthal","Lotzwil - Langenthal","Lotzwil, Bern, Switzerland","3.2 km","43 m","Point to point","This beautiful path takes you from Lotzwil to Langenthal. Enjoy an easy hike on the ""René Bärtschi-Weg"" along the ""Langete"" river and you will pass the historic water meadows. Depending on the watering, you can expect water on the hiking trail.","Easy","5.0","(1)","HikingMountain bikingRunningForestRiverViews"
"1700575829-21","https://www.alltrails.com/switzerland/bern","","Bienne - Glovelier - Saint-Imier - Le Neuveville","https://www.alltrails.com/trail/switzerland/bern/bienne-glovelier-saint-imier-le-neuveville","Bienne - Glovelier - Saint-Imier - Le Neuveville","Chasseral Regional Park","112.3 km","3,571 m","Point to point","","Hard","5.0","(1)","Road bikingScenic drivingBike touringForestLakeRiverViewsWildflowers"
"1700575833-22","https://www.alltrails.com/switzerland/bern","","Tramelan Circuit","https://www.alltrails.com/trail/switzerland/bern/tramelan-rundweg","Tramelan Circuit","Tramelan, Bern, Switzerland","9.5 km","268 m","Loop","The trail is an ideal trail for an afternoon lap or for a jog.

It starts in Tramelan at the train station and then continues through the cultural landscape. Then it goes over fields and meadows at the foot of the cable cars. Then the path will soon be back at the train station.

This trail can be a bit muddy after a few bad weather days.","Easy","4.7","(3)","Kid friendlyWalkingRunningDog friendlyForestPavedRiverViewsWildflowers"
"1700575836-23","https://www.alltrails.com/switzerland/bern","","Albristhorn via Tierberg","https://www.alltrails.com/trail/switzerland/bern/albristhorn-via-tierberg","Albristhorn via Tierberg","Lenk im Simmental, Bern, Switzerland","15.1 km","1,248 m","Out & back","","Hard","4.0","(1)","HikingForestViewsWildflowersWildlifeRockyScramble"
"1700575840-24","https://www.alltrails.com/switzerland/bern","","Wimmis - Seebergsee - Oberwil","https://www.alltrails.com/trail/switzerland/bern/wimmis-seebergsee-oberwil","Wimmis - Seebergsee - Oberwil","Diemtigtal Nature Park","65.5 km","1,957 m","Loop","Discover this beautiful bike tour in the Bernese Oberland, which leads through the Diemtig Valley Nature Park. This tour offers you a varied landscape from beautiful forests to dreamy meadows and fields. Almost the entire route leads along a river and a special stop awaits you at the Seebergsee at 1831 meters above sea level.","Hard","5.0","(1)","CampingMountain bikingRoad bikingBike touringForestLakeRiverViewsWildflowersWildlifeHistoric site"
"1700575844-25","https://www.alltrails.com/switzerland/bern","","Langnau - Chammere - Lüderenalp","https://www.alltrails.com/trail/switzerland/bern/langnau-chammere-luderenalp","Langnau - Chammere - Lüderenalp","Langnau im Emmental, Bern, Switzerland","10.5 km","649 m","Point to point","This great hike is located in the beautiful Emmental in the canton of Bern. The path begins in Langnau and leads via Chammere to Lüderenalp. It is one of the most beautiful excursion destinations in the Emmental and offers a fantastic view of the Bernese Alps and the Jura. Around 1890 a spa was built here which specialized in tuberculosis patients and whey cures. In 1961 it was rebuilt into a hotel and restaurant.","Moderate","3.7","(3)","HikingRunningForestPartially pavedViewsWildflowers"
"1700575848-26","https://www.alltrails.com/switzerland/bern","","Mattenalpsee - Gauliseeli","https://www.alltrails.com/trail/switzerland/bern/mattenalpsee-and-gauliseeli","Mattenalpsee - Gauliseeli","Innertkirchen, Bern, Switzerland","20.9 km","1,717 m","Loop","","Hard","4.2","(2)","HikingMountain bikingBike touringBird watchingForestLakeRiverViewsWildflowersWildlifeRocky"
"1700575851-27","https://www.alltrails.com/switzerland/bern","","Bözingenberg - Romont","https://www.alltrails.com/trail/switzerland/bern/bozingenberg-romont","Bözingenberg - Romont","Brügg, Bern, Switzerland","37.5 km","1,140 m","Loop","","Moderate","5.0","(1)","HikingMountain bikingBird watchingForestLakeRiverViewsWildflowersWildlifeHistoric site"
"1700575856-28","https://www.alltrails.com/switzerland/bern","","Rundtour Jura 5 Pässe","https://www.alltrails.com/trail/switzerland/bern/rundtour-jura-5-passe--2","Rundtour Jura 5 Pässe","Chasseral Regional Park","106.2 km","3,318 m","Loop","","Hard","5.0","(2)","Dogs on leashBackpackingHikingBird watchingForestLakeRiverWildflowersWildlife"
"1700575860-29","https://www.alltrails.com/switzerland/bern","","Grimmialp - Staldenmaadhütte","https://www.alltrails.com/trail/switzerland/bern/grimmialp-staldenmaadhutte","Grimmialp - Staldenmaadhütte","Diemtigtal Nature Park","10.1 km","343 m","Out & back","The trail starts in Grimmialp at the parking lot and then it goes along the Senggibach. You come through the cultural landscape to the Staldenmaadhütte at 1116m. This tour is particularly suitable for a walk with children or for a wonderful run through this beautiful nature.

This trail can be a bit muddy after a few bad weather days.","Moderate","4.0","(2)","Kid friendlyWalkingRunningDog friendlyForestPartially pavedRiverWildflowers"
"1700575863-30","https://www.alltrails.com/switzerland/bern","","Tramelan - Montbautier - Moron","https://www.alltrails.com/trail/switzerland/bern/tramelan-montbautier-moron","Tramelan - Montbautier - Moron","Chasseral Regional Park","32.0 km","1,025 m","Loop","This path begins in Tramelan at the train station and leads through the settlement out into the forest. Then it goes over the Montbautier at 1160m and then it goes on to Montagne de Saules, where one can take a break. Then the path continues further on to the top of Moron at 1336m. On short and direct paths it goes down to Tramelan.","Moderate","4.0","(1)","HikingRunningForestPartially pavedViewsWildflowers"
"1700575870-31","https://www.alltrails.com/switzerland/bern","","Münsingen - Belp - Belpberg - Gerzensee","https://www.alltrails.com/trail/switzerland/bern/munsingen-belp-belpberg-gerzensee","Münsingen - Belp - Belpberg - Gerzensee","Münsingen, Bern, Switzerland","24.3 km","659 m","Loop","","Hard","5.0","(1)","Dogs on leashRoad bikingBike touringRunningForestPavedRiverViewsWildflowersHistoric site"
"1700575873-32","https://www.alltrails.com/switzerland/bern","","Laupen - Laupen Castle - Laupen wood","https://www.alltrails.com/trail/switzerland/bern/laupen-schloss-laupen-laupenholz","Laupen - Laupen Castle - Laupen wood","Laupen, Bern, Switzerland","3.9 km","134 m","Loop","The trail starts in Laupen at the train station and then leads directly into the Laupenwald forest. However, at the beginning the trail passes the Laupen Castle. There one is able to visit the museum and the exhibitions in the castle.

The path then continues along the Vita Parcours with the opportunity to immerse oneself in nature.

More information can be found here: https://www.stiftung-schlosslaupen.ch/","Easy","4.0","(1)","Kid friendlyWalkingRunningDog friendlyForestLakePartially pavedViewsHistoric site"
"1700575877-33","https://www.alltrails.com/switzerland/bern","","Lüscherz - Lattrigen via Bielersee","https://www.alltrails.com/trail/switzerland/bern/luscherz-lattrigen-via-bielersee","Lüscherz - Lattrigen via Bielersee","Vinelz, Bern, Switzerland","8.4 km","150 m","Point to point","This trail from the small Lüscherz train station is already a very convenient place to start exploring Lake Biel. After a few meters one reaches the shore of the lake and continues past some beautiful bays along the path called fisherman´s path. After a short time the trail arrives at the Lattrigen train station, making it easy to get back to the start of the walk.","Moderate","5.0","(1)","Kid friendlyWalkingRunningBeachDog friendlyForestLakePartially pavedViewsWildflowers"
"1700575880-34","https://www.alltrails.com/switzerland/bern","","Grubenberg Trail - Abländschen","https://www.alltrails.com/trail/switzerland/bern/grubenberg-trail-ablandschen","Grubenberg Trail - Abländschen","Abländschen, Bern, Switzerland","8.9 km","531 m","Out & back","This beautiful snowshoe route takes you to the Grubenbergütte, which lies at the foot of the Gastlosen. This trail can also be done in summer.","Moderate","4.0","(1)","SnowshoeingForestViewsWildflowersSnow"
"1700575884-35","https://www.alltrails.com/switzerland/bern","","Brienz - Felsentor - Dirrengrind - Planalp","https://www.alltrails.com/trail/switzerland/bern/brienz-felsentor-dirrengrind-planalp","Brienz - Felsentor - Dirrengrind - Planalp","Brienz, Bern, Switzerland","18.0 km","1,378 m","Loop","A fantastic circular hike with a great panoramic view of Lake Brienz, Eiger, Mönch and Jungfrau. The path leads along idyllic mountain and forest paths to the Felsentor (1798 m) and the Dirrengrind (1957 m) directly below the imposing Brienzer Rothorn. The descent then leads over the Planalp along the Milibach.","Hard","5.0","(1)","BackpackingHikingBird watchingForestLakeRiverViewsWildflowersWildlifeRockyScrambleSnowHistoric site"
"1700575888-36","https://www.alltrails.com/switzerland/bern","","Hotel de Chasseral - Creux du Vans","https://www.alltrails.com/trail/switzerland/bern/hotel-de-chasseral-creux-du-vans","Hotel de Chasseral - Creux du Vans","Chasseral Regional Park","51.7 km","1,900 m","Point to point","Four-day tour from Weissenstein to Nyon. Postbus can be used from Olten to Weissenstein. Very nice circuit along the Jura High Trail with highlights such as the Creux du Vans, the Lac de Joux. The descent to Nyon is fantastic.","Hard","5.0","(1)","HikingMountain bikingBird watchingForestRiverViewsWaterfallWildflowersWildlife"
"1700575891-37","https://www.alltrails.com/switzerland/bern","","Sillerenbühl - Lavey - Albristhorn - Schwandfeldspitze","https://www.alltrails.com/trail/switzerland/bern/sillerenbuhl-lavey-albristhorn-schwandfeldspitze","Sillerenbühl - Lavey - Albristhorn - Schwandfeldspitze","Adelboden, Bern, Switzerland","12.6 km","1,014 m","Point to point","","Hard","5.0","(1)","BackpackingHikingBird watchingRunningRiverViewsWildflowersWildlifeRockyScrambleSnowNo shadeHistoric site"
"1700575895-38","https://www.alltrails.com/switzerland/bern","","Bern - Gschuntnehubel","https://www.alltrails.com/trail/switzerland/bern/bern-gschuntnehubel","Bern - Gschuntnehubel","Bremgartenwald","7.6 km","120 m","Loop","This short but very beautiful circular route begins in Bern at Europaplatz in the direction of the Bremgarten Forest to Gschuntnehubel. It is a small peak at 569m and offers a view of the valley around Bern and the city, but also of the surrounding peaks such as the Stallflue or the Dilitschchopf.","Moderate","4.0","(1)","Kid friendlyHikingMountain bikingRunningDog friendlyForestPartially pavedRiverViewsWildflowers"
"1700575899-39","https://www.alltrails.com/switzerland/bern","","Feutersoey - Arnensee - Wittenberghorn","https://www.alltrails.com/trail/switzerland/bern/feutersoey-arnensee-wittenberghorn","Feutersoey - Arnensee - Wittenberghorn","Feutersoey, Bern, Switzerland","10.8 km","1,349 m","Point to point","","Hard","5.0","(2)","HikingRunningForestLakeRiverViewsWildflowers"
"1700575902-40","https://www.alltrails.com/switzerland/bern","","Sunnbüel - Chindbettipass - Tschingellochighorn","https://www.alltrails.com/trail/switzerland/bern/sunnbuel-chindbettipass-tschingellochighorn","Sunnbüel - Chindbettipass - Tschingellochighorn","Pfyn-Finges Nature Park","22.5 km","954 m","Point to point","This day starts with a ride on the Kandersteg-Sunnbüel cable car and then directly leads past the Altels refuge into the open countryside. With a view of the Felsenhorn peak at 2782m, one hikes through the mountain landscape and also comes across the Tschingelllochtighorn peak at 2735m. After a long hike the trail finally reaches Kandersteg again, the valley station of the cable car.

It is recommended to check the website beforehand, as fees may apply or opening hours must be taken into account: https://sunnbuel.ch/de/","Hard","5.0","(1)","HikingBird watchingDog friendlyForestLakeViewsWildflowersWildlifeRockyScrambleSnowNo shadeFee"
"1700575905-41","https://www.alltrails.com/switzerland/bern","","Bissen - Stand","https://www.alltrails.com/trail/switzerland/bern/bissen-stand","Bissen - Stand","Gstaad, Bern, Switzerland","6.0 km","899 m","Point to point","The route of this hike starts next to Lancy and Bissen in the canton of Bern. For about six kilometers it is almost 1000 meters high to get to the summit of Stand. This is located at 2190 meters above sea level and is just before the Wasserngrat, Gstaad's local mountain. A large part of the route can be made with the Wasserngrat Railway.","Hard","5.0","(1)","HikingRunningForestViewsWildflowers"
"1700575908-42","https://www.alltrails.com/switzerland/bern","","La Neuveville - Préles - Ligerz","https://www.alltrails.com/trail/switzerland/bern/la-neuveville-preles-ligerz","La Neuveville - Préles - Ligerz","La Neuveville, Bern, Switzerland","13.5 km","519 m","Loop","The trail starts in La Neuveville and leads right through the natural landscape. With a constant incline, after just a few kilometers it then reaches the highest point of the Souis la Jorbe trail at around 900m. Then it is best to follow the road down to Ligerz for a short distance and then follow the shore of the beautiful Lake Biel back to the trail head.","Moderate","5.0","(1)","Kid friendlyHikingBeachDog friendlyForestLakePartially pavedViewsHistoric site"
"1700575912-43","https://www.alltrails.com/switzerland/bern","","Eggiwil - Wachseldorn - Oberdiessbach - Signau","https://www.alltrails.com/trail/switzerland/bern/eggiwil-wachseldorn-oberdiessbach-signau","Eggiwil - Wachseldorn - Oberdiessbach - Signau","Thunerlake Hohgant Nature Park","53.6 km","1,033 m","Loop","33 Mile loop through the upper Emmental with beautiful vistas to the alps","Moderate","4.0","(1)","Road bikingBike touringForestRiverViewsWildflowersWildlife"
"1700575916-44","https://www.alltrails.com/switzerland/bern","","Gurnigel Circular","https://www.alltrails.com/trail/switzerland/bern/gurnigel-bad-rundweg","Gurnigel Circular","Rüti bei Riggisberg, Bern, Switzerland","5.3 km","195 m","Loop","The trail starts in Grunigel Bad directly at a public car park along road 230. It goes through the woods across country through the Gurnigelwald along unpaved roads. At the foot of the Gspeeshubel and the Schönebodenegg you cross the forest and cross one or two watercourses.

This trail can be a bit muddy after a few bad weather days.","Easy","5.0","(1)","HikingRunningDog friendlyForestRiverWildflowers"
"1700575919-45","https://www.alltrails.com/switzerland/bern","","Col du Pillon - Col des Mosses - Jaunpass via Thun","https://www.alltrails.com/trail/switzerland/bern/col-du-pillon-col-des-mosses-jaunpass-uber-thun","Col du Pillon - Col des Mosses - Jaunpass via Thun","Thun, Bern, Switzerland","197.9 km","4,951 m","Loop","Discover this beautiful tour that stretches across the 3 cantons of Bern, Vaud and Fribourg.

It starts in Thun on Lake Thun and leads over the Col du Pillon (1546 m) to Les Diablerets. Then it goes over the Col des Mosses (1445 m) to La Lécherette and over the Jaunpass (1507 m) back to Thun. This tour offers you a unique panorama of the most beautiful places in Switzerland.

It is recommended to do this tour in spring or late summer/autumn, as the roads are less busy during that time.","Hard","4.4","(2)","Road bikingScenic drivingBike touringForestLakePavedRiverViewsWaterfallWildflowersWildlifeHistoric site"
"1700575923-46","https://www.alltrails.com/switzerland/bern","","Wynau - Höchi","https://www.alltrails.com/trail/switzerland/bern/roggwil-wynau-hochi","Wynau - Höchi","Wynau, Bern, Switzerland","4.0 km","112 m","Loop","This leisurely circular hike is located in the Emmental-Oberaargau region and begins in Wynau at the town hall, where there is a free car park. You hike briefly through the village and then into the idyllic forest, where the Höchiweg leads to the Höchi (529 m). The way back leads on the Wildsauweg and the Mettlenweg.","Easy","3.9","(2)","Dogs on leashKid friendlyWalkingBird watchingRunningForestPartially pavedRiverViewsWildflowersWildlife"
"1700575934-47","https://www.alltrails.com/switzerland/bern","","Lengnau - Hupperweiher","https://www.alltrails.com/trail/switzerland/bern/lengnau-hupperweiher","Lengnau - Hupperweiher","Lengnau, Bern, Switzerland","4.2 km","146 m","Loop","","Easy","5.0","(2)","HikingWalkingRunningForestViews"
"1700575938-48","https://www.alltrails.com/switzerland/bern","","Moutier - Chemin de Graitery - Bergerie d'Eschert","https://www.alltrails.com/trail/switzerland/bern/moutier-chemin-de-graitery-bergerie-d-eschert","Moutier - Chemin de Graitery - Bergerie d'Eschert","Moutier, Bern, Switzerland","11.7 km","677 m","Loop","","Moderate","5.0","(2)","HikingMountain bikingRunningForestViewsWildflowers"
"1700575942-49","https://www.alltrails.com/switzerland/bern","","Allmiried - Ägelsee","https://www.alltrails.com/trail/switzerland/bern/allmiried-agelsee","Allmiried - Ägelsee","Diemtigtal Nature Park","14.3 km","655 m","Loop","This trail starts at the foot of the Wirihornbahnen cable car at a paid car park, but the valley is also well served by public transport from Bern. The Oey-Diemtigen train station is reachable with the Regio-Express Lötschberger. The hike leads directly into nature through the Tschuggewald forest and also passes the Ägelsee lake at 988m. Then it goes down again leaving one stunned and full of great impressions.

More information on how to get there by public transport is available here: https://www.bls.ch/de","Moderate","4.6","(2)","Cross-country skiingHikingSnowshoeingDog friendlyForestLakePartially pavedRiverViewsWildflowersWildlifeFee"
"1700575946-50","https://www.alltrails.com/switzerland/bern","","Linden - Ringgis - Äbersold","https://www.alltrails.com/trail/switzerland/bern/linden-ringgis-abersold","Linden - Ringgis - Äbersold","Linden, Bern, Switzerland","14.8 km","609 m","Loop","The path begins in Linden at a parking lot and leads through the small settlement. Then it goes out along the paved road until just before Äbersold and then to Ringgis before continuing further to Äbersold. From here one is able to hike also through the Mittler Toppwald forest and then also a bit in the Chli Toppwald forest. Then it's back to Linden.","Moderate","5.0","(2)","HikingBird watchingRunningDog friendlyForestPartially pavedViewsWildflowers"
"1700575950-51","https://www.alltrails.com/switzerland/bern","","Corcelles - Grandval MTB","https://www.alltrails.com/trail/switzerland/bern/corcelles-grandval-mtb","Corcelles - Grandval MTB","Crémines, Bern, Switzerland","18.2 km","1,009 m","Loop","The trail starts in Corcelles and is ideal for a mountain bike ride. First it comes across fields and meadows and then into the forest over the rocks Les Rochers du Droit. Then it goes back down over the fields via Grandval and then up again a bit to the Sur les Vieux Prés at 915m. Then it goes back to the beginning again.","Hard","4.0","(3)","HikingMountain bikingRunningDog friendlyForestPartially pavedViewsWildflowers"
"1700575954-52","https://www.alltrails.com/switzerland/bern","","Court - Mont Girod","https://www.alltrails.com/trail/switzerland/bern/court-mont-girod","Court - Mont Girod","Court, Bern, Switzerland","7.2 km","432 m","Loop","The trail starts at Court Train Station, right on the La Birse River. It goes through the settlement and then through forest paths in the Foret du Droit to the top of Mont Girod at 1045m. There one has wonderful views of the cultural landscape around Court.

A beautiful path with a beautiful view of the natural landscape and the walls of the Gorges de Court, carved over the centuries by the water of the River Birs, which are today a popular destination for climbing and hiking enthusiasts.","Moderate","3.8","(2)","Kid friendlyHikingBird watchingDog friendlyForestPartially pavedRiverViewsWildflowers"
"1700575957-53","https://www.alltrails.com/switzerland/bern","","Ralligstöck","https://www.alltrails.com/trail/switzerland/bern/ralligstock","Ralligstöck","Thunerlake Hohgant Nature Park","3.4 km","210 m","Point to point","","Moderate","4.0","(1)","HikingWalkingForestViewsWildlife"
